title,genre,budget,year,month
Epic,Animation,100000000,2013,5
The Tourist,Action,100000000,2010,12
End of Days,Action,100000000,1999,11
Blood Diamond,Drama,100000000,2006,12
The Wolf of Wall Street,Crime,100000000,2013,12
Batman Forever,Action,100000000,1995,5
Starship Troopers,Adventure,105000000,1997,11
Cloud Atlas,Drama,102000000,2012,10
Legend of the Guardians: The Owls of Ga'Hoole,Animation,80000000,2010,7
Catwoman,Action,100000000,2004,7
Hercules,Action,100000000,2014,7
Treasure Planet,Adventure,140000000,2002,11
Land of the Lost,Adventure,100000000,2009,6
The Expendables 3,Action,90000000,2014,8
Point Break,Action,105000000,2015,12
Son of the Mask,Fantasy,84000000,2005,2
In the Heart of the Sea,Thriller,100000000,2015,11
The Adventures of Pluto Nash,Action,100000000,2002,8
Green Zone,,100000000,2010,3
The Peanuts Movie,Animation,99000000,2015,11
The Spanish Prisoner,Crime,10000000,1997,9
The Mummy Returns,Adventure,98000000,2001,4
Gangs of New York,Drama,100000000,2002,12
The Flowers of War,Drama,94000000,2011,12
Surf's Up,Animation,85000000,2007,6
The Stepford Wives,Action,90000000,2004,6
Black Hawk Down,Action,92000000,2001,12
The Campaign,Comedy,0,2012,8
The Fifth Element,Adventure,90000000,1997,5
Sex and the City 2,Comedy,100000000,2010,5
The Road to El Dorado,Adventure,95000000,2000,3
Ice Age: Continental Drift,Animation,95000000,2012,6
Cinderella,Romance,95000000,2015,3
The Lovely Bones,Fantasy,65000000,2009,12
Finding Nemo,Animation,94000000,2003,5
The Lord of the Rings: The Return of the King,Adventure,94000000,2003,12
The Lord of the Rings: The Two Towers,Adventure,79000000,2002,12
Seventh Son,Adventure,95000000,2014,12
Lara Croft: Tomb Raider,Adventure,115000000,2001,6
Transcendence,Thriller,100000000,2014,4
Jurassic Park III,Adventure,93000000,2001,7
Rise of the Planet of the Apes,Thriller,93000000,2011,8
The Spiderwick Chronicles,Adventure,90000000,2008,2
A Good Day to Die Hard,Action,92000000,2013,2
The Alamo,,145000000,2004,4
The Incredibles,Action,92000000,2004,11
Cutthroat Island,Action,98000000,1995,12
Percy Jackson & the Olympians: The Lightning Thief,Adventure,95000000,2010,2
Men in Black,Action,90000000,1997,7
Toy Story 2,Animation,90000000,1999,10
Unstoppable,Action,100000000,2010,11
Rush Hour 2,Action,90000000,2001,8
What Lies Beneath,Drama,100000000,2000,7
Cloudy with a Chance of Meatballs,Animation,100000000,2009,9
Ice Age: Dawn of the Dinosaurs,Animation,90000000,2009,6
The Secret Life of Walter Mitty,Adventure,90000000,2013,12
Charlie's Angels,Action,92000000,2000,11
The Departed,Drama,90000000,2006,10
Mulan,Animation,90000000,1998,6
Tropic Thunder,Action,92000000,2008,8
The Girl with the Dragon Tattoo,Thriller,90000000,2011,12
Die Hard: With a Vengeance,Action,90000000,1995,5
Sherlock Holmes,Action,90000000,2009,12
Ben-Hur,Drama,100000000,2016,8
Atlantis: The Lost Empire,Animation,120000000,2001,6
Alvin and the Chipmunks: The Road Chip,Adventure,0,2015,12
Valkyrie,Drama,75000000,2008,12
You Don't Mess with the Zohan,Comedy,90000000,2008,6
Pixels,Action,88000000,2015,7
A.I. Artificial Intelligence,Drama,100000000,2001,6
The Haunted Mansion,Thriller,90000000,2003,11
Contact,Drama,90000000,1997,7
Hollow Man,Action,95000000,2000,8
The Interpreter,Crime,80000000,2005,4
Percy Jackson: Sea of Monsters,Adventure,90000000,2013,8
Lara Croft Tomb Raider: The Cradle of Life,Action,95000000,2003,7
Now You See Me 2,Action,90000000,2016,6
The Saint,Thriller,68000000,1997,4
Spy Game,Action,92000000,2001,11
Mission to Mars,Science Fiction,90000000,2000,3
Rio,Animation,90000000,2011,4
Bicentennial Man,Comedy,100000000,1999,12
Volcano,Science Fiction,90000000,1997,4
The Devil's Own,Crime,90000000,1997,3
K-19: The Widowmaker,Drama,100000000,2002,7
Conan the Barbarian,Adventure,20000000,1982,4
Cinderella Man,Romance,88000000,2005,6
The Nutcracker: The Untold Story,Fantasy,90000000,2010,11
Seabiscuit,Drama,87000000,2003,7
Twister,Action,92000000,1996,5
Cast Away,Adventure,90000000,2000,12
Happy Feet,Animation,100000000,2006,11
The Bourne Supremacy,Action,75000000,2004,7
Air Force One,Action,85000000,1997,7
Ocean's Eleven,Thriller,85000000,2001,12
The Three Musketeers,Adventure,75000000,2011,8
Hotel Transylvania,Animation,85000000,2012,9
Enchanted,Comedy,85000000,2007,11
Safe House,Action,85000000,2012,2
102 Dalmatians,Comedy,85000000,2000,10
Tower Heist,Action,75000000,2011,11
The Holiday,Comedy,85000000,2006,12
Enemy of the State,Action,90000000,1998,11
It's Complicated,Comedy,85000000,2009,12
Ocean's Thirteen,Crime,85000000,2007,6
Open Season,Adventure,85000000,2006,9
Divergent,Adventure,85000000,2014,3
Enemy at the Gates,,68000000,2001,3
The Rundown,Adventure,85000000,2003,9
Last Action Hero,Adventure,85000000,1993,6
Memoirs of a Geisha,Drama,85000000,2005,12
The Fast and the Furious: Tokyo Drift,Action,85000000,2006,6
Arthur Christmas,Drama,0,2011,2
Meet Joe Black,Fantasy,90000000,1998,11
Collateral Damage,Action,85000000,2002,2
All That Jazz,Drama,0,1979,12
Mirror Mirror,Adventure,85000000,2012,3
Scott Pilgrim vs. the World,Action,60000000,2010,7
The Core,Action,60000000,2003,3
Nutty Professor II: The Klumps,Fantasy,84000000,2000,7
Scooby-Doo,,84000000,2002,6
Dredd,Action,50000000,2012,9
Click,Comedy,82500000,2006,6
Creepshow,Horror,8000000,1982,11
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy,85000000,2010,7
Jumper,Adventure,85000000,2008,2
Hellboy II: The Golden Army,Adventure,85000000,2008,7
Zodiac,Crime,65000000,2007,3
The 6th Day,Science Fiction,82000000,2000,11
Bruce Almighty,Fantasy,80000000,2003,5
The Expendables,Thriller,80000000,2010,8
Mission: Impossible,Adventure,80000000,1996,5
The Hunger Games,Science Fiction,75000000,2012,3
The Hangover Part II,Comedy,80000000,2011,5
Batman Returns,Action,80000000,1992,6
Over the Hedge,Comedy,80000000,2006,4
Lilo & Stitch,Animation,80000000,2002,6
Charlotte's Web,Comedy,85000000,2006,12
Deep Impact,Action,75000000,1998,5
RED 2,Action,84000000,2013,7
The Longest Yard,Comedy,82000000,2005,5
Alvin and the Chipmunks: Chipwrecked,Comedy,75000000,2011,12
Grown Ups 2,Comedy,80000000,2013,7
